ID,Color Name,Hex (Web RGB),R,G,B,Paint Chip,Preview Image,Unlock Requirement,Color (id),Group ID,Reference Sources
74,Light Blue,#395A83,57,90,131,074_light-blue_395a83.png,074_accent_light-blue_395a83.png,,Light Blue (id=74),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/9/9e/Respray-GTAV-AccentColor-LightBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
88,Yellow,#F5890F,245,137,15,088_yellow_f5890f.png,088_accent_yellow_f5890f.png,Rank 15,Yellow (id=88),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/89/Respray-GTAV-AccentColor-Yellow.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
89,Race Yellow,#D9A600,217,166,0,089_race-yellow_d9a600.png,089_accent_race-yellow_d9a600.png,,Race Yellow (id=89),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/f/fa/Respray-GTAV-AccentColor-RaceYellow.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
90,Bronze,#4A341B,74,52,27,090_bronze-dark-copper_4a341b.png,090_accent_bronze_4a341b.png,Rank 15,"Bronze, Dark Copper (id=90)",Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/a7/Respray-GTAV-AccentColor-Bronze.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
91,Dew Yellow,#A2A827,162,168,39,091_dew-yellow-yellow-bird_a2a827.png,091_accent_dew-yellow_a2a827.png,10 Stunt Jumps,"Dew Yellow, Yellow Bird (id=91)",Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/86/Respray-GTAV-AccentColor-DewYellow.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
92,Lime Green,#568F00,86,143,0,092_lime-green_568f00.png,092_accent_lime-green_568f00.png,25 Stunt Jumps,Lime Green (id=92),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/8c/Respray-GTAV-AccentColor-LimeGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
98,Saddle Brown,#3D3023,61,48,35,098_saddle-brown_3d3023.png,098_accent_saddle-brown_3d3023.png,,Saddle Brown (id=98),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/ae/Respray-GTAV-AccentColor-SaddleBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
99,Straw Brown,#5E5343,94,83,67,099_gold-straw-brown_5e5343.png,099_accent_straw-brown_5e5343.png,Rank 23,"Gold, Straw Brown (id=99)",Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/b5/Respray-GTAV-AccentColor-StrawBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
100,Moss Brown,#37382B,55,56,43,100_moss-brown_37382b.png,100_accent_moss-brown_37382b.png,Rank 23,Moss Brown (id=100),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/f/f7/Respray-GTAV-AccentColor-MossBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
102,Woodbeech Brown,#575036,87,80,54,102_beechwood_575036.png,102_accent_woodbeech-brown_575036.png,Rank 23,"Beechwood, Woodbeech Brown (id=102)",Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/9/92/Respray-GTAV-AccentColor-WoodbeechBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
104,Sienna Brown,#3B1700,59,23,0,104_sienna-brown_3b1700.png,104_accent_sienna-brown_3b1700.png,Rank 21,Sienna Brown (id=104),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/4f/Respray-GTAV-AccentColor-SiennaBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
105,Sandy Brown,#6E6246,110,98,70,105_sandy-brown_6e6246.png,105_accent_sandy-brown_6e6246.png,Rank 23,Sandy Brown (id=105),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/8f/Respray-GTAV-AccentColor-SandyBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
106,Bleached Brown,#998D73,153,141,115,106_bleached-brown_998d73.png,106_accent_bleached-brown_998d73.png,Rank 23,Bleached Brown (id=106),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/0f/Respray-GTAV-AccentColor-BleachedBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
107,Cream,#CFC0A5,207,192,165,107_cream_cfc0a5.png,107_accent_cream_cfc0a5.png,Rank 25,Cream (id=107),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/45/Respray-GTAV-AccentColor-Cream.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
111,Ice White,#F0F0F0,240,240,240,111_ice-white_f0f0f0.png,111_accent_ice-white_f0f0f0.png,,Ice White (id=111),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/17/Respray-GTAV-AccentColor-IceWhite.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
112,Frost White,#B3B9C9,179,185,201,112_frost-white_b3b9c9.png,112_accent_frost-white_b3b9c9.png,Rank 25,Frost White (id=112),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/ec/Respray-GTAV-AccentColor-FrostWhite.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
135,Hot Pink,#B01259,176,18,89,135_hot-pink_b01259.png,135_accent_hot-pink_b01259.png,50 Turbo Start,Hot Pink (id=135),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/56/Respray-GTAV-AccentColor-HotPink.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
136,Salmon Pink,#F69799,246,151,153,136_salmon-pink_f69799.png,136_accent_salmon-pink_f69799.png,Rank 13,Salmon Pink (id=136),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/42/Respray-GTAV-AccentColor-SalmonPink.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
137,Pfister Pink,#8F2F55,143,47,85,137_pfister-pink_8f2f55.png,137_accent_pfister-pink_8f2f55.png,Rank 13,Pfister Pink (id=137),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/59/Respray-GTAV-AccentColor-PfisterPink.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
138,Bright Orange,#C26610,194,102,16,138_bright-orange_c26610.png,138_accent_bright-orange_c26610.png,Rank 13,Bright Orange (id=138),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/f/fa/Respray-GTAV-AccentColor-BrightOrange.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
145,Bright Purple,#320642,50,6,66,145_bright-purple-schafter-purple_320642.png,145_accent_bright-purple_320642.png,,"Bright Purple, Schafter Purple (id=145)",Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/7/7a/Respray-GTAV-AccentColor-BrightPurple.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
150,Lava Red,#6B0B00,107,11,0,150_lava-red_6b0b00.png,150_accent_lava-red_6b0b00.png,100 Slipstreams,Lava Red (id=150),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/45/Respray-GTAV-AccentColor-LavaRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
