Color Name,Hex (Web RGB),Crew Code(s),R,G,B,Color/Effect Family,Paint Chip,Preview Image,Notes,Group ID,Reference Sources
Berry Pearl Metallic,#260410,EE,38,4,16,Purple/Red,berry-pearl-metallic_260410.png,(no preview),,Custom,
Better Than Your Blue,#0D000D,,13,0,13,Purple/Black,better-than-your-blue_0d000d.png,(no preview),,Custom,
Big Bad Orange,#B2230E,AA,178,35,14,Orange/Red,big-bad-orange_b2230e.png,(no preview),,Custom,
Birch Green,#80B23B,EE,128,178,59,Green,birch-green_80b23b.png,(no preview),,Custom,
Bisque,#FFE4C4,,255,228,196,Yellow/Brown,bisque_ffe4c4.png,(no preview),,Custom,
Black Crew Color,#030303,,3,3,3,Black,black-crew-color_030303.png,(no preview),,Custom,
Black Tulip,#160C19,FF,22,12,25,Purple/Black,black-tulip_160c19.png,(no preview),,Custom,
Blanched Almond,#FFEBCD,,255,235,205,Yellow/Brown,blanched-almond_ffebcd.png,(no preview),,Custom,
Blazing Blue,#2C75FF,,44,117,255,Blue,blazing-blue_2c75ff.png,(no preview),,Custom,
Bleak Banana,#ECFF8C,,236,255,140,Yellow/Green,bleak-banana_ecff8c.png,(no preview),,Custom,
Bleu Alpine Heritage,#002791,FF,0,39,145,Blue,bleu-alpine-heritage_002791.png,(no preview),,Custom,
Bleu Paon,#002336,FF,0,35,54,Blue,bleu-paon_002336.png,(no preview),,Custom,
Blizzard Blue,#A3E3ED,,163,227,237,Blue,blizzard-blue_a3e3ed.png,(no preview),,Custom,
Blu Francia,#061C53,EE,6,28,83,Blue,blu-francia_061c53.png,(no preview),,Custom,
Blue Cheat,#9BC8FF,,155,200,255,Blue,blue-cheat_9bc8ff.png,(no preview),,Custom,
Blue Chrome,#000024,AA,0,0,36,Blue/Black,blue-chrome_000024.png,(no preview),,Custom,
Blue Dragon I,#150855,EE,21,8,85,Blue/Purple,blue-dragon-i_150855.png,(no preview),,Custom,
Blue Dragon II,#13004C,EE,19,0,76,Blue/Purple,blue-dragon-ii_13004c.png,(no preview),,Custom,
Blue Ridge Mountain Metallic,#223340,EE,34,51,64,Blue,blue-ridge-mountain-metallic_223340.png,(no preview),,Custom,
Blue Vibe,#180321,,24,3,33,Blue/Purple,blue-vibe_180321.png,(no preview),,Custom,
Blue Violet,#8A2BE2,,138,43,226,Purple,blue-violet_8a2be2.png,(no preview),,Custom,
Bluebonnet,#1C1CF0,,28,28,240,Blue,bluebonnet_1c1cf0.png,(no preview),,Custom,
BlueMagic,#2003FF,,32,3,255,Blue,bluemagic_2003ff.png,(no preview),,Custom,
Bold Purple,#6B214C,,107,33,76,Purple,bold-purple_6b214c.png,(no preview),,Custom,
Boston Green,#001317,EE,0,19,23,Green,boston-green_001317.png,(no preview),,Custom,
Bright Baby Blue,#05C1FF,,5,193,255,Blue,bright-baby-blue_05c1ff.png,(no preview),,Custom,
Bright Gold,#E3BE46,,227,190,70,Gold/Yellow,bright-gold_e3be46.png,(no preview),,Custom,
Bright Orange,#FB5604,,251,86,4,Orange,bright-orange_fb5604.png,(no preview),,Custom,
Bright Purple,#603E94,,96,62,148,Purple,bright-purple_603e94.png,(no preview),,Custom,
Brilliant Red,#BB000A,AA,187,0,10,Red,brilliant-red_bb000a.png,(no preview),,Custom,
Brilliant Red II,#BB0011,EE,187,0,17,Red,brilliant-red-ii_bb0011.png,(no preview),,Custom,
Brown,#A52A2A,,165,42,42,Brown,brown_a52a2a.png,(no preview),,Custom,
Brown Town,#270F03,,39,15,3,Brown,brown-town_270f03.png,(no preview),,Custom,
Bubble Gum,#FFC1CC,,255,193,204,Pink,bubble-gum_ffc1cc.png,(no preview),,Custom,
BubblePurp,#7403FF,,116,3,255,Purple,bubblepurp_7403ff.png,(no preview),,Custom,
Bubbles,#E7FEFF,,231,254,255,Blue/White,bubbles_e7feff.png,(no preview),,Custom,
Buckinghamshire Green,#011D21,,1,29,33,Green,buckinghamshire-green_011d21.png,(no preview),,Custom,
Burgundrot,#140204,EE,20,2,4,Red,burgundrot_140204.png,(no preview),,Custom,
Burgundrot II,#150B14,AA,21,11,20,Red,burgundrot-ii_150b14.png,(no preview),,Custom,
Burly Wood,#DEB887,,222,184,135,Brown,burly-wood_deb887.png,(no preview),,Custom,
Burnt Wine,#2C0324,,44,3,36,Red/Purple,burnt-wine_2c0324.png,(no preview),,Custom,
Camel,#604939,AA,96,73,57,Brown,camel_604939.png,(no preview),,Custom,
Canary,#FFFFB2,,255,255,178,Yellow,canary_ffffb2.png,(no preview),,Custom,
Caplan Roadster Green,#1E4340,FF,30,67,64,Green,caplan-roadster-green_1e4340.png,(no preview),,Custom,
Caribbean Blue Pearl,#1B4970,AA,27,73,112,Blue,caribbean-blue-pearl_1b4970.png,(no preview),,Custom,
Celeste Blue,#33567F,EE,51,86,127,Blue,celeste-blue_33567f.png,(no preview),,Custom,
Cerberus Red,#0F0000,,15,0,0,Red/Black,cerberus-red_0f0000.png,(no preview),,Custom,
Chameleon Green,#002B15,,0,43,21,Green,chameleon-green_002b15.png,(no preview),,Custom,
Chameleon Green II,#05FF93,,5,255,147,Green,chameleon-green-ii_05ff93.png,(no preview),,Custom,
Champagne,#462D0D,FF,70,45,13,Gold/Brown,champagne_462d0d.png,(no preview),,Custom,
Changer Blue,#0F82FA,,15,130,250,Blue,changer-blue_0f82fa.png,(no preview),,Custom,
Charcoal Gray,#0F0F0F,,15,15,15,Gray/Black,charcoal-gray_0f0f0f.png,(no preview),,Custom,
Chartreuse Yellow,#DFFF00,,223,255,0,Yellow/Green,chartreuse-yellow_dfff00.png,(no preview),,Custom,
Chimera Teal (bluer),#164754,,22,71,84,Teal/Blue,chimera-teal-bluer_164754.png,(no preview),,Custom,
Chimera Teal (greener),#165450,,22,84,80,Teal/Green,chimera-teal-greener_165450.png,(no preview),,Custom,
Chocolate,#D2691E,,210,105,30,Brown/Orange,chocolate_d2691e.png,(no preview),,Custom,
Circuit Red,#FF0D0D,,255,13,13,Red,circuit-red_ff0d0d.png,(no preview),,Custom,
Claret,#140309,AA,20,3,9,Red,claret_140309.png,(no preview),,Custom,
Coral,#FF7F50,,255,127,80,Orange/Pink,coral_ff7f50.png,(no preview),,Custom,
Cornsilk,#FFF8DC,,255,248,220,Yellow/Brown,cornsilk_fff8dc.png,(no preview),,Custom,
Corrosive Green,#84FF0A,,132,255,10,Green,corrosive-green_84ff0a.png,(no preview),,Custom,
Cotton Candy Pink,#F9526B,,249,82,107,Pink,cotton-candy-pink_f9526b.png,(no preview),,Custom,
Creamsicle Orange,#F25020,,242,80,32,Orange,creamsicle-orange_f25020.png,(no preview),,Custom,
Creative Red,#510015,,81,0,21,Red,creative-red_510015.png,(no preview),,Custom,
Cricket Ball,#130406,FF,19,4,6,Red,cricket-ball_130406.png,(no preview),,Custom,
Cricket Green,#005437,FF,0,84,55,Green,cricket-green_005437.png,(no preview),,Custom,
Crimson,#DC143C,,220,20,60,Red,crimson_dc143c.png,(no preview),,Custom,
Daffodil,#FFFF31,,255,255,49,Yellow,daffodil_ffff31.png,(no preview),,Custom,
Dakar Yellow,#EEC458,EE,238,196,88,Yellow,dakar-yellow_eec458.png,(no preview),,Custom,
Damson,#191419,AA,25,20,25,Purple/Black,damson_191419.png,(no preview),,Custom,
Dark Cashmere,#36312C,AA,54,49,44,Brown/Grey,dark-cashmere_36312c.png,(no preview),,Custom,
Dark Gold Chrome,#FBB829,,251,184,41,Gold/Yellow,dark-gold-chrome_fbb829.png,(no preview),,Custom,
Dark Goldenrod,#B8860B,,184,134,11,Gold/Yellow,dark-goldenrod_b8860b.png,(no preview),,Custom,
Dark Khaki,#BDB76B,,189,183,107,Yellow/Brown,dark-khaki_bdb76b.png,(no preview),,Custom,
Dark Magenta,#8B008B,,139,0,139,Purple,dark-magenta_8b008b.png,(no preview),,Custom,
Dark Olive Drab,#556B2F,,85,107,47,Green/Brown,dark-olive-drab_556b2f.png,(no preview),,Custom,
Dark Orange,#FF8C00,,255,140,0,Orange,dark-orange_ff8c00.png,(no preview),,Custom,
Dark Orchid,#9932CC,,153,50,204,Purple,dark-orchid_9932cc.png,(no preview),,Custom,
Dark Red,#8B0000,,139,0,0,Red,dark-red_8b0000.png,(no preview),,Custom,
Dark Rose Copper,#241515,FF,36,21,21,Brown/Red,dark-rose-copper_241515.png,(no preview),,Custom,
Dark Salmon,#E9967A,,233,150,122,Orange/Pink,dark-salmon_e9967a.png,(no preview),,Custom,
Dark Sapphire,#040A14,AA,4,10,20,Blue,dark-sapphire_040a14.png,(no preview),,Custom,
Dark Slate Blue,#483D8B,,72,61,139,Blue/Purple,dark-slate-blue_483d8b.png,(no preview),,Custom,
Dark Soul Purple,#0E000E,,14,0,14,Purple/Black,dark-soul-purple_0e000e.png,(no preview),,Custom,
Dark Violet,#9400D3,,148,0,211,Purple,dark-violet_9400d3.png,(no preview),,Custom,
DarkNight,#0A002F,,10,0,47,Blue/Purple,darknight_0a002f.png,(no preview),,Custom,
Daytona Grey,#101216,FF,16,18,22,Grey,daytona-grey_101216.png,(no preview),,Custom,
DB5 Silver Birch I,#5C5B59,FF,92,91,89,Silver/Grey,db5-silver-birch-i_5c5b59.png,(no preview),,Custom,
DB5 Silver Birch II,#5D5C57,FF,93,92,87,Silver/Grey,db5-silver-birch-ii_5d5c57.png,(no preview),,Custom,
DBR9 Racing Green,#213A30,AA,33,58,48,Green,dbr9-racing-green_213a30.png,(no preview),,Custom,
Deep Pink,#FF1493,,255,20,147,Pink,deep-pink_ff1493.png,(no preview),,Custom,
Deep Red,#E50E06,,229,14,6,Red,deep-red_e50e06.png,(no preview),,Custom,
Deep Sea Blue,#050617,EE,5,6,23,Blue,deep-sea-blue_050617.png,(no preview),,Custom,
DeepBlu,#130024,,19,0,36,Blue/Purple,deepblu_130024.png,(no preview),,Custom,
Deisel Green,#00FF66,,0,255,102,Green,deisel-green_00ff66.png,(no preview),,Custom,
DejaVu,#200002,,32,0,2,Red/Black,dejavu_200002.png,(no preview),,Custom,
Desert Sand,#EDC9AF,,237,201,175,Brown,desert-sand_edc9af.png,(no preview),,Custom,
Detox Purple,#9D99BC,,157,153,188,Purple,detox-purple_9d99bc.png,(no preview),,Custom,
Devil Red,#FF0000,,255,0,0,Red,devil-red_ff0000.png,(no preview),,Custom,
Digital Green,#00FF00,,0,255,0,Green,digital-green_00ff00.png,(no preview),,Custom,
Dr. Pepper Red,#992222,,153,34,34,Red,dr-pepper-red_992222.png,(no preview),,Custom,
Dragon Orange,#844E02,FF,132,78,2,Orange/Brown,dragon-orange_844e02.png,(no preview),,Custom,
Dune,#38352E,FF,56,53,46,Brown/Grey,dune_38352e.png,(no preview),,Custom,
Electric Indigo,#6F00FF,,111,0,255,Purple,electric-indigo_6f00ff.png,(no preview),,Custom,
Electric Lime,#CEFA05,,206,250,5,Green/Yellow,electric-lime_cefa05.png,(no preview),,Custom,
Electric Lime II,#506400,,80,100,0,Green,electric-lime-ii_506400.png,(no preview),,Custom,
Electric Lime III,#CCFF00,,204,255,0,Green/Yellow,electric-lime-iii_ccff00.png,(no preview),,Custom,
Electric Purple,#BF00FF,,191,0,255,Purple,electric-purple_bf00ff.png,(no preview),,Custom,
Electric Violet,#8B00FF,,139,0,255,Purple,electric-violet_8b00ff.png,(no preview),,Custom,
Electric Yellow,#FFFF33,,255,255,51,Yellow,electric-yellow_ffff33.png,(no preview),,Custom,
Emerald Green,#00C957,,0,201,87,Green,emerald-green_00c957.png,(no preview),,Custom,
Empire Blue,#0F0AFF,,15,10,255,Blue,empire-blue_0f0aff.png,(no preview),,Custom,
Epsilon Blue II,#87C5F5,,135,197,245,Blue,epsilon-blue-ii_87c5f5.png,(no preview),,Custom,
Epsilon Blue III,#6690B5,,102,144,181,Blue,epsilon-blue-iii_6690b5.png,(no preview),,Custom,
Estoril Blue Metallic I,#0D1D58,EE,13,29,88,Blue,estoril-blue-metallic-i_0d1d58.png,(no preview),,Custom,
Estoril Blue Metallic II,#142A59,EE,20,42,89,Blue,estoril-blue-metallic-ii_142a59.png,(no preview),,Custom,
Fire Brick,#B22222,,178,34,34,Red,fire-brick_b22222.png,(no preview),,Custom,
Fire Orange,#53250E,FF,83,37,14,Orange/Brown,fire-orange_53250e.png,(no preview),,Custom,
Fire Orange II,#8A2B03,AA,138,43,3,Orange,fire-orange-ii_8a2b03.png,(no preview),,Custom,
Fire Red,#A70A00,AA,167,10,0,Red,fire-red_a70a00.png,(no preview),,Custom,
Fishscale Yayo,#A6A87B,,166,168,123,Yellow/Green,fishscale-yayo_a6a87b.png,(no preview),,Custom,
Flamingo Pink,#FF66FF,,255,102,255,Pink,flamingo-pink_ff66ff.png,(no preview),,Custom,
Flirty Purple,#610DAB,,97,13,171,Purple,flirty-purple_610dab.png,(no preview),,Custom,
Floret Silver Metallic,#6C7187,FF,108,113,135,Silver/Grey,floret-silver-metallic_6c7187.png,(no preview),,Custom,
Fluorescent Blue,#05C1FF,,5,193,255,Blue,fluorescent-blue_05c1ff.png,(no preview),,Custom,
Fluorescent Blue II,#1CF4FF,,28,244,255,Blue,fluorescent-blue-ii_1cf4ff.png,(no preview),,Custom,
Fluoresent Yellow,#CCFF00,,204,255,0,Yellow/Green,fluoresent-yellow_ccff00.png,(no preview),,Custom,
Fountain Blue,#36495E,AA,54,73,94,Blue,fountain-blue_36495e.png,(no preview),,Custom,
Freeze Blue,#8CFF19,,140,255,25,Green/Blue,freeze-blue_8cff19.png,(no preview),,Custom,
French Lavender,#4B406B,EE,75,64,107,Purple,french-lavender_4b406b.png,(no preview),,Custom,
Frosted Mint,#DBFFF8,,219,255,248,Green/White,frosted-mint_dbfff8.png,(no preview),,Custom,
Frozen Dark Grey Metallic,#1E2126,EE,30,33,38,Grey,frozen-dark-grey-metallic_1e2126.png,(no preview),,Custom,
Frozen Marina Bay Blue,#090929,EE,9,9,41,Blue,frozen-marina-bay-blue_090929.png,(no preview),,Custom,
Fuchsia,#FF00FF,,255,0,255,Pink/Purple,fuchsia_ff00ff.png,(no preview),,Custom,
Fuzzy Wuzzy Brown,#C45655,,196,86,85,Brown/Red,fuzzy-wuzzy-brown_c45655.png,(no preview),,Custom,
Glossy Green,#004600,,0,70,0,Green,glossy-green_004600.png,(no preview),,Custom,
Glowing Green,#16A112,,22,161,18,Green,glowing-green_16a112.png,(no preview),,Custom,
Glowstick,#E2FCA7,,226,252,167,Yellow/Green,glowstick_e2fca7.png,(no preview),,Custom,
Glycerine Green,#033309,,3,51,9,Green,glycerine-green_033309.png,(no preview),,Custom,
Gold,#FFD700,,255,215,0,Gold/Yellow,gold_ffd700.png,(no preview),,Custom,
Golden Jade,#33331A,FF,51,51,26,Gold/Green,golden-jade_33331a.png,(no preview),,Custom,
Golden Tan,#733614,FF,115,54,20,Brown/Gold,golden-tan_733614.png,(no preview),,Custom,
Goldenrod,#DAA520,,218,165,32,Gold/Yellow,goldenrod_daa520.png,(no preview),,Custom,
Great Color,#0E000E,,14,0,14,Purple/Black,great-color_0e000e.png,(no preview),,Custom,
Great Color 2,#B976ED,,185,118,237,Purple,great-color-2_b976ed.png,(no preview),,Custom,
Green Apple,#414221,FF,65,66,33,Green,green-apple_414221.png,(no preview),,Custom,
Green Hell,#042C34,FF,4,44,52,Green,green-hell_042c34.png,(no preview),,Custom,
Green Hell II,#003741,EE,0,55,65,Green,green-hell-ii_003741.png,(no preview),,Custom,
Grigio Telesto,#282C33,EE,40,44,51,Grey,grigio-telesto_282c33.png,(no preview),,Custom,
Hallmark,#2C2D2E,AA,44,45,46,Grey,hallmark_2c2d2e.png,(no preview),,Custom,
Harlequin,#3FFF00,,63,255,0,Green,harlequin_3fff00.png,(no preview),,Custom,
Hialeah Yellow,#AFA050,00,175,160,80,Yellow,hialeah-yellow_afa050.png,(no preview),,Custom,
Highlighter Yellow,#DEFF00,,222,255,0,Yellow,highlighter-yellow_deff00.png,(no preview),,Custom,
Hockenheim Silver,#7885A2,00,120,133,162,Silver/Grey,hockenheim-silver_7885a2.png,(no preview),,Custom,
Hot Magenta,#FF00CC,,255,0,204,Pink/Purple,hot-magenta_ff00cc.png,(no preview),,Custom,
Hot Pink,#FF69B4,,255,105,180,Pink,hot-pink_ff69b4.png,(no preview),,Custom,
Indian Red,#CD5C5C,,205,92,92,Red,indian-red_cd5c5c.png,(no preview),,Custom,
Indigo,#4B0082,,75,0,130,Purple/Blue,indigo_4b0082.png,(no preview),,Custom,
Infra Red,#FF496C,,255,73,108,Pink/Red,infra-red_ff496c.png,(no preview),,Custom,
Intox Bluer,#1505FF,,21,5,255,Blue,intox-bluer_1505ff.png,(no preview),,Custom,
Intoxicated Blue,#3503FF,,53,3,255,Blue/Purple,intoxicated-blue_3503ff.png,(no preview),,Custom,
Intoxicated Purple,#381CF3,,56,28,243,Purple,intoxicated-purple_381cf3.png,(no preview),,Custom,
Invisible Color,#0E000E,,14,0,14,Purple/Black,invisible-color_0e000e.png,(no preview),,Custom,
Ipanema Brown,#2B1B0B,AA,43,27,11,Brown,ipanema-brown_2b1b0b.png,(no preview),,Custom,
Isle of Man Green,#002321,EE,0,35,33,Green,isle-of-man-green_002321.png,(no preview),,Custom,
Ivory Green,#082D23,FF,8,45,35,Green,ivory-green_082d23.png,(no preview),,Custom,
Jade Grun I,#002919,EE,0,41,25,Green,jade-grun-i_002919.png,(no preview),,Custom,
Jade Grun II,#012118,EE,1,33,24,Green,jade-grun-ii_012118.png,(no preview),,Custom,
Java Green,#194918,FF,25,73,24,Green,java-green_194918.png,(no preview),,Custom,
Java Green I,#16591A,AA,22,89,26,Green,java-green-i_16591a.png,(no preview),,Custom,
Java Green II,#1A5525,AA,26,85,37,Green,java-green-ii_1a5525.png,(no preview),,Custom,
Jet Blue Metallic,#334766,EE,51,71,102,Blue,jet-blue-metallic_334766.png,(no preview),,Custom,
Jetstream Blue,#5881BB,AA,88,129,187,Blue,jetstream-blue_5881bb.png,(no preview),,Custom,
Joker Green,#029939,,2,153,57,Green,joker-green_029939.png,(no preview),,Custom,
Jolly Green,#0C5A26,FF,12,90,38,Green,jolly-green_0c5a26.png,(no preview),,Custom,
Julep,#656036,FF,101,96,54,Green,julep_656036.png,(no preview),,Custom,
Julep II,#7F723D,EE,127,114,61,Green,julep-ii_7f723d.png,(no preview),,Custom,
Kemora Grey,#2A374C,EE,42,55,76,Grey,kemora-grey_2a374c.png,(no preview),,Custom,
Kemora Grey II,#283343,FF,40,51,67,Grey,kemora-grey-ii_283343.png,(no preview),,Custom,
Khaki,#F0E68C,,240,230,140,Yellow/Brown,khaki_f0e68c.png,(no preview),,Custom,
Khamun,#614C23,AA,97,76,35,Brown,khamun_614c23.png,(no preview),,Custom,
Kifflom,#87C5F5,,135,197,245,Blue,kifflom_87c5f5.png,(no preview),,Custom,
KillerBlue,#0505FF,,5,5,255,Blue,killerblue_0505ff.png,(no preview),,Custom,
Kingfisher,#1C4869,AA,28,72,105,Blue,kingfisher_1c4869.png,(no preview),,Custom,
Kyalami Green,#2A6414,AA,42,100,20,Green,kyalami-green_2a6414.png,(no preview),,Custom,
Kyalami Green II,#217F19,EE,33,127,25,Green,kyalami-green-ii_217f19.png,(no preview),,Custom,
Laser Lemon,#FFFF66,,255,255,102,Yellow,laser-lemon_ffff66.png,(no preview),,Custom,
Lavender,#E6E6FA,,230,230,250,Purple,lavender_e6e6fa.png,(no preview),,Custom,
Lazer Blue,#000FFF,,0,15,255,Blue,lazer-blue_000fff.png,(no preview),,Custom,
Lemon,#FDE910,,253,233,16,Yellow,lemon_fde910.png,(no preview),,Custom,
Lemon Chiffon,#FFFACD,,255,250,205,Yellow,lemon-chiffon_fffacd.png,(no preview),,Custom,
Lemon Glacier,#FDFF00,,253,255,0,Yellow,lemon-glacier_fdff00.png,(no preview),,Custom,
Lemon Yellow,#FFF44F,,255,244,79,Yellow,lemon-yellow_fff44f.png,(no preview),,Custom,
Lemon-Lime,#E3FF00,,227,255,0,Yellow/Green,lemon-lime_e3ff00.png,(no preview),,Custom,
Light Baby Blue,#5881BB,AA,88,129,187,Blue,light-baby-blue_5881bb.png,(no preview),,Custom,
Light Coral,#F08080,,240,128,128,Pink/Red,light-coral_f08080.png,(no preview),,Custom,
Light Gazelle,#38342F,AA,56,52,47,Brown,light-gazelle_38342f.png,(no preview),,Custom,
Light Gold Chrome,#E3BE46,,227,190,70,Gold/Yellow,light-gold-chrome_e3be46.png,(no preview),,Custom,
Light Neon Green,#13FF65,,19,255,101,Green,light-neon-green_13ff65.png,(no preview),,Custom,
Light Pink,#FFB6C1,,255,182,193,Pink,light-pink_ffb6c1.png,(no preview),,Custom,
Light Salmon,#FFA07A,,255,160,122,Orange/Pink,light-salmon_ffa07a.png,(no preview),,Custom,
Light Teal,#67BAB5,,103,186,181,Teal,light-teal_67bab5.png,(no preview),,Custom,
Light Yellow,#FFFFE0,,255,255,224,Yellow,light-yellow_ffffe0.png,(no preview),,Custom,
LightGoldenrodYellow,#FAFAD2,,250,250,210,Yellow,lightgoldenrodyellow_fafad2.png,(no preview),,Custom,
Lime Essence,#7D9E10,EE,125,158,16,Green/Yellow,lime-essence_7d9e10.png,(no preview),,Custom,
Lime Green,#449908,EE,68,153,8,Green,lime-green_449908.png,(no preview),,Custom,
Long Beach Blue,#003357,AA,0,51,87,Blue,long-beach-blue_003357.png,(no preview),,Custom,
Lost Azura,#2B00FF,,43,0,255,Blue,lost-azura_2b00ff.png,(no preview),,Custom,
Lucid Red,#FF0000,,255,0,0,Red,lucid-red_ff0000.png,(no preview),,Custom,
Lysergic Purple,#4004FF,,64,4,255,Purple,lysergic-purple_4004ff.png,(no preview),,Custom,
Magenta,#FF00FF,,255,0,255,Pink/Purple,magenta_ff00ff.png,(no preview),,Custom,
Magnetic Blue,#494C99,,73,76,153,Blue/Purple,magnetic-blue_494c99.png,(no preview),,Custom,
Mako Blue,#233456,AA,35,52,86,Blue,mako-blue_233456.png,(no preview),,Custom,
Mandarine,#8D0F00,FF,141,15,0,Orange/Red,mandarine_8d0f00.png,(no preview),,Custom,
Mango Dreams,#FF6715,,255,103,21,Orange,mango-dreams_ff6715.png,(no preview),,Custom,
Marina Blue,#051151,AA,5,17,81,Blue,marina-blue_051151.png,(no preview),,Custom,
Maroon,#800000,,128,0,0,Red/Brown,maroon_800000.png,(no preview),,Custom,
Maxi Blue,#36589A,FF,54,88,154,Blue,maxi-blue_36589a.png,(no preview),,Custom,
Medium Orchid,#BA55D3,,186,85,211,Purple,medium-orchid_ba55d3.png,(no preview),,Custom,
Medium Purple,#9370DB,,147,112,219,Purple,medium-purple_9370db.png,(no preview),,Custom,
Medium Slate Blue,#7B68EE,,123,104,238,Blue/Purple,medium-slate-blue_7b68ee.png,(no preview),,Custom,
Medium Violet Red,#C71585,,199,21,133,Pink/Purple,medium-violet-red_c71585.png,(no preview),,Custom,
Mellow Yellow,#AE7223,FF,174,114,35,Yellow/Gold,mellow-yellow_ae7223.png,(no preview),,Custom,
Menacing Red,#340011,,52,0,17,Red,menacing-red_340011.png,(no preview),,Custom,
Merlin Purple I,#180C1F,AA,24,12,31,Purple,merlin-purple-i_180c1f.png,(no preview),,Custom,
Merlin Purple II,#1D0E23,AA,29,14,35,Purple,merlin-purple-ii_1d0e23.png,(no preview),,Custom,
Messing,#1F2018,AA,31,32,24,Brown,messing_1f2018.png,(no preview),,Custom,
