ID,Color Name,Hex (Web RGB),R,G,B,Default Pearl (when purchased),Paint Chip,Preview Image,Notes / Unlock Requirements,Color (id),Group ID,Reference Sources
27,Red,#690000,105,0,0,Sunrise Orange (id=36),027_red_690000.png,(no preview),,Red (id=27),Metallic,
28,Torino Red,#8A0B00,138,11,0,Torino Red (id=28),028_torino-red_8a0b00.png,(no preview),Rank 11,Torino Red (id=28),Metallic,
29,Formula Red,#6B0000,107,0,0,Torino Red (id=28),029_formula-red_6b0000.png,(no preview),Rank 11,Formula Red (id=29),Metallic,
150,Lava Red,#6B0B00,107,11,0,Matte Yellow (id=42),150_lava-red_6b0b00.png,(no preview),"· Matte Yellow (id=42) and other Matte colors are unavailable to purchase from modshops as a pearlescent color.
· Unlock Req: 100 Slipstreams",Lava Red (id=150),Metallic,
30,Blaze Red,#611009,97,16,9,Sunrise Orange (id=36),030_blaze-red_611009.png,(no preview),Rank 11,Blaze Red (id=30),Metallic,
31,Grace Red,#4A0A0A,74,10,10,Red (id=27),031_grace-red_4a0a0a.png,(no preview),Rank 11,Grace Red (id=31),Metallic,
32,Garnet Red,#470E0E,71,14,14,Worn Blue Silver (id=25),032_garnet-red_470e0e.png,(no preview),Worn Blue Silver (id=25) is not available to purchase from modshops as a pearlescent color.,Garnet Red (id=32),Metallic,
33,Sunset Red,#380C00,56,12,0,Worn Golden Red (id=47),033_sunset-red_380c00.png,(no preview),"· Worn Golden Red (id=47) is not available to purchase from modshops as a pearlescent color.
· Unlock Req: Rank 13",Sunset Red (id=33),Metallic,
34,Cabernet Red,#26030B,38,3,11,Worn Golden Red (id=47),034_cabernet-red_26030b.png,(no preview),"· Worn Golden Red (id=47) is not available to purchase from modshops as a pearlescent color.
· Unlock Req: 25 Slipstreams",Cabernet Red (id=34),Metallic,
143,Wine Red,#080000,8,0,0,Grace Red (id=31),143_wine-red_080000.png,(no preview),5 Turbo Starts,Wine Red (id=143),Metallic,
35,Candy Red,#630012,99,0,18,Worn Blue Silver (id=25),035_candy-red_630012.png,(no preview),"· Worn Blue Silver (id=25) is not available to purchase from modshops as a pearlescent color.
· Unlock Req: 50 Best Laps",Candy Red (id=35),Metallic,
135,Hot Pink,#B01259,176,18,89,Hot Pink (id=135),135_hot-pink_b01259.png,(no preview),50 Turbo Starts,Hot Pink (id=135),Metallic,
137,Pfister Pink,#8F2F55,143,47,85,Dark Steel (id=3),137_pfister-pink_8f2f55.png,(no preview),Rank 13,Pfister Pink (id=137),Metallic,
136,Salmon Pink,#F69799,246,151,153,Bluish Silver (id=5),136_salmon-pink_f69799.png,(no preview),Rank 13,Salmon Pink (id=136),Metallic,
36,Sunrise Orange,#802800,128,40,0,Worn Shadow Silver (id=26),036_sunrise-orange_802800.png,(no preview),"· Worn Shadow Silver (id=26) is not available to purchase from modshops as a pearlescent color.
· Unlock Req: 5 Stunt Jumps",Sunrise Orange (id=36),Metallic,
38,Orange,#BD4800,189,72,0,Gold (id=99),038_orange_bd4800.png,(no preview),,Orange (id=38),Metallic,
138,Bright Orange,#C26610,194,102,16,Race Yellow (id=89),138_bright-orange_c26610.png,(no preview),Rank 13,Bright Orange (id=138),Metallic,
99,Gold,#5E5343,94,83,67,Bleached Brown (id=106),099_gold-straw-brown_5e5343.png,(no preview),25 Race Wins,Gold (id=99),Metallic,
90,Bronze,#4A341B,74,52,27,"Beechwood, Woodbeech Brown (id=102)",090_bronze-dark-copper_4a341b.png,(no preview),Rank 15,Bronze (id=90),Metallic,
88,Yellow,#F5890F,245,137,15,Yellow (id=88),088_yellow_f5890f.png,(no preview),Rank 15,Yellow (id=88),Metallic,
89,Race Yellow,#D9A600,217,166,0,Yellow (id=88),089_race-yellow_d9a600.png,(no preview),,Race Yellow (id=89),Metallic,
91,Dew Yellow,#A2A827,162,168,39,Dew Yellow (id=91),091_dew-yellow-yellow-bird_a2a827.png,(no preview),10 Stunt Jumps,Dew Yellow (id=91),Metallic,
49,Dark Green,#001207,0,18,7,Olive Green (id=52),049_dark-green_001207.png,(no preview),Rank 15,Dark Green (id=49),Metallic,
50,Racing Green,#001A0B,0,26,11,Bright Green (id=53),050_racing-green_001a0b.png,(no preview),10 Turbo Starts,Racing Green (id=50),Metallic,
51,Sea Green,#00211E,0,33,30,Harbor Blue (id=66),051_sea-green_00211e.png,(no preview),Rank 15,Sea Green (id=51),Metallic,
52,Olive Green,#1F261E,31,38,30,Worn Green (id=59),052_olive-green_1f261e.png,(no preview),Worn Green (id=59) is not available to purchase from modshops as a pearlescent color.,Olive Green (id=52),Metallic,
53,Bright Green,#003805,0,56,5,Worn Green (id=59),053_bright-green-green_003805.png,(no preview),Worn Green (id=59) is not available to purchase from modshops as a pearlescent color.,Bright Green (id=53),Metallic,
54,Gasoline Green,#0B4145,11,65,69,Worn Sea Wash (id=60),054_gasoline-green_0b4145.png,(no preview),"· Worn Sea Wash (id=60) is not available to purchase from modshops as a pearlescent color.
· Unlock Req: 50 Slipstreams",Gasoline Green (id=54),Metallic,
92,Lime Green,#568F00,86,143,0,Lime Green (id=92),092_lime-green_568f00.png,(no preview),25 Stunt Jumps,Lime Green (id=92),Metallic,
141,Midnight Blue,#000108,0,1,8,Racing Blue (id=73),141_midnight-blue_000108.png,(no preview),10 Best Laps,Midnight Blue (id=141),Metallic,
61,Galaxy Blue,#000D14,0,13,20,Saxon Blue (id=63),061_galaxy-blue_000d14.png,(no preview),Rank 17,Galaxy Blue (id=61),Metallic,
62,Dark Blue,#001029,0,16,41,Surf Blue (id=68),062_dark-blue_001029.png,(no preview),Rank 17,Dark Blue (id=62),Metallic,
63,Saxon Blue,#1C2F4F,28,47,79,"Worn Baby Blue, Worn Light Blue (id=87)",063_saxon-blue_1c2f4f.png,(no preview),"· Worn Baby Blue, Worn Light Blue (id=87) is not available to purchase from modshops as a pearlescent color.
· Unlock Req: Rank 17",Saxon Blue (id=63),Metallic,
64,Blue,#001B57,0,27,87,Surf Blue (id=68),064_blue-royal-blue_001b57.png,(no preview),,Blue (id=64),Metallic,
65,Mariner Blue,#3B4E78,59,78,120,"Worn Baby Blue, Worn Light Blue (id=87)",065_mariner-blue_3b4e78.png,(no preview),"· Worn Baby Blue, Worn Light Blue (id=87) is not available to purchase from modshops as a pearlescent color.
· Unlock Req: Rank 17",Mariner Blue (id=65),Metallic,
66,Harbor Blue,#272D3B,39,45,59,Worn Sea Wash (id=60),066_harbor-blue_272d3b.png,(no preview),Worn Sea Wash (id=60) is not available to purchase from modshops as a pearlescent color.,Harbor Blue (id=66),Metallic,
67,Diamond Blue,#95B2DB,149,178,219,Diamond Blue (id=67),067_diamond-blue_95b2db.png,(no preview),Rank 19,Diamond Blue (id=67),Metallic,
68,Surf Blue,#3E627A,62,98,122,Surf Blue (id=68),068_surf-blue_3e627a.png,(no preview),Rank 19,Surf Blue (id=68),Metallic,
69,Nautical Blue,#1C3140,28,49,64,Light Blue (id=74),069_nautical-blue_1c3140.png,(no preview),Rank 19,Nautical Blue (id=69),Metallic,
73,Racing Blue,#0E316D,14,49,109,Racing Blue (id=73),073_racing-blue_0e316d.png,(no preview),Rank 19,Racing Blue (id=73),Metallic,
70,Ultra Blue,#0055C4,0,85,196,Ultra Blue (id=70),070_bright-blue-ultra-blue_0055c4.png,(no preview),25 Best Laps,Ultra Blue (id=70),Metallic,
74,Light Blue,#395A83,57,90,131,Light Blue (id=74),074_light-blue_395a83.png,(no preview),,Light Blue (id=74),Metallic,
96,Chocolate Brown,#120D07,18,13,7,Creek Brown (id=95),096_chocolate-brown_120d07.png,(no preview),Rank 21,Chocolate Brown (id=96),Metallic,
101,Bison Brown,#221918,34,25,24,Creek Brown (id=95),101_bison-brown_221918.png,(no preview),5 Best Laps,Bison Brown (id=101),Metallic,
95,Creek Brown,#262117,38,33,23,Maple Brown (id=97),095_creek-brown-dark-ivory_262117.png,(no preview),,Creek Brown (id=95),Metallic,
94,Feltzer Brown,#291B06,41,27,6,Sienna Brown (id=104),094_feltzer-brown_291b06.png,(no preview),Rank 21,Feltzer Brown (id=94),Metallic,
97,Maple Brown,#332111,51,33,17,Saddle Brown (id=98),097_maple-brown_332111.png,(no preview),Rank 21,Maple Brown (id=97),Metallic,
103,Beechwood Brown,#241309,36,19,9,Sienna Brown (id=104),103_dark-beechwood_241309.png,(no preview),5 Race Wins,Beechwood Brown (id=103),Metallic,
104,Sienna Brown,#3B1700,59,23,0,Sienna Brown (id=104),104_sienna-brown_3b1700.png,(no preview),Rank 21,Sienna Brown (id=104),Metallic,
98,Saddle Brown,#3D3023,61,48,35,Creek Brown (id=95),098_saddle-brown_3d3023.png,(no preview),,Saddle Brown (id=98),Metallic,
100,Moss Brown,#37382B,55,56,43,Moss Brown (id=100),100_moss-brown_37382b.png,(no preview),Rank 23,Moss Brown (id=100),Metallic,
102,Woodbeech Brown,#575036,87,80,54,Sandy Brown (id=105),102_beechwood_575036.png,(no preview),Rank 23,Woodbeech Brown (id=102),Metallic,
99,Straw Brown,#5E5343,94,83,67,Bleached Brown (id=106),099_gold-straw-brown_5e5343.png,(no preview),Rank 23,Straw Brown (id=99),Metallic,
105,Sandy Brown,#6E6246,110,98,70,Sandy Brown (id=105),105_sandy-brown_6e6246.png,(no preview),Rank 23,Sandy Brown (id=105),Metallic,
106,Bleached Brown,#998D73,153,141,115,Bleached Brown (id=106),106_bleached-brown_998d73.png,(no preview),,Bleached Brown (id=106),Metallic,
71,Schafter Purple,#1A182E,26,24,46,Bright Purple (id=145),071_schafter-purple_1a182e.png,(no preview),Rank 25,Schafter Purple (id=71),Metallic,
72,Spinnaker Purple,#161629,22,22,41,Blue (id=64),072_spinnaker-purple_161629.png,(no preview),25 Turbo Starts,Spinnaker Purple (id=72),Metallic,
142,Midnight Purple,#050008,5,0,8,Bright Purple (id=145),142_midnight-purple_050008.png,(no preview),Rank 25,Midnight Purple (id=142),Metallic,
145,Bright Purple,#320642,50,6,66,Light Blue (id=74),145_bright-purple-schafter-purple_320642.png,(no preview),,Bright Purple (id=145),Metallic,
107,Cream,#CFC0A5,207,192,165,Cream (id=107),107_cream_cfc0a5.png,(no preview),Rank 25,Cream (id=107),Metallic,
111,Ice White,#F0F0F0,240,240,240,Black (id=0),111_ice-white_f0f0f0.png,(no preview),,Ice White (id=111),Metallic,
112,Frost White,#B3B9C9,179,185,201,Black (id=0),112_frost-white_b3b9c9.png,(no preview),Rank 25,Frost White (id=112),Metallic,
,Crew Color,,,,,,,(no preview),Crew Level 20,,Metallic,
