Vehicle Name,Livery Name,Primary Hex (Web RGB),Crew Code(s),R,G,B,Color Effect/Family,Paint Chip,Preview Image,Notes,Group ID,Vehicle Model ID,Livery  Group ID,Reference Sources
Chimera,Patriot Patina (Dark Red),#4D0908,AA,77,9,8,Dark Red,4d0908.png,(no preview),,Livery,chimera,,
Chimera,Outline Pinstripe Patina (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,chimera,,
Chimera,Classic Pinstripe Patina (Red),#CB0000,,203,0,0,Red,cb0000.png,(no preview),,Livery,chimera,,
Chino Custom,Purple Furiously Floral (Dark Purple),#360076,AA,54,0,118,Dark Purple,360076.png,Y0cEC3os.jpg,,Livery,chino2,,http://i.imgur.com/Y0cEC3os.jpg
Chino Custom,Blue Furiously Floral (Light Blue),#005CEC,,0,92,236,Light Blue,005cec.png,wdAIzNEs.jpg,,Livery,chino2,,http://i.imgur.com/wdAIzNEs.jpg
Chino Custom,Thick Blue Striping (Dark Blue),#002370,AA,0,35,112,Dark Blue,002370.png,W7VeSb9s.jpg,,Livery,chino2,,http://i.imgur.com/W7VeSb9s.jpg
Chino Custom,Classic White Pinstripe (Gold),#AD9E4A,,173,158,74,Gold,ad9e4a.png,sYxFSYcs.jpg,,Livery,chino2,,http://i.imgur.com/sYxFSYcs.jpg
Chino Custom,Outline Gold Pinstripe (Gold),#B5A24A,,181,162,74,Gold,b5a24a.png,Su0PTZZs.jpg,,Livery,chino2,,http://i.imgur.com/Su0PTZZs.jpg
Chino Custom,Blue Furiously Floral (Turquoise),#2691AA,,38,145,170,Turquoise,2691aa.png,siohDpes.jpg,,Livery,chino2,,http://i.imgur.com/siohDpes.jpg
Chino Custom,Purple Furiously Floral (Purple Blue),#2924AD,,41,36,173,Purple Blue,2924ad.png,p3d6MkDs.jpg,,Livery,chino2,,http://i.imgur.com/p3d6MkDs.jpg
Chino Custom,Thick Red Striping (Dark Red),#4A1900,AA,74,25,0,Dark Red,4a1900.png,lA77aB1s.jpg,,Livery,chino2,,http://i.imgur.com/lA77aB1s.jpg
Chino Custom,Thick Red Striping (Bright Red),#DE0010,,222,0,16,Bright Red,de0010.png,jPnwF8is.jpg,,Livery,chino2,,http://i.imgur.com/jPnwF8is.jpg
Chino Custom,Outline Blue Pinstripe (Blue),#13A8D9,,19,168,217,Blue,13a8d9.png,jht6z7bs.jpg,,Livery,chino2,,http://i.imgur.com/jht6z7bs.jpg
Chino Custom,Blue Furiously Floral (Dark Blue),#002F76,AA,0,47,118,Dark Blue,002f76.png,j5rYxxus.jpg,,Livery,chino2,,http://i.imgur.com/j5rYxxus.jpg
Chino Custom,Purple Furiously Floral (Purple),#6B00EC,,107,0,236,Purple,6b00ec.png,HIMCheGs.jpg,,Livery,chino2,,http://i.imgur.com/HIMCheGs.jpg
Chino Custom,Gold Furiously Floral (Yellowish Orange),#EC9100,,236,145,0,Yellowish Orange,ec9100.png,g0wk1uOs.jpg,,Livery,chino2,,http://i.imgur.com/g0wk1uOs.jpg
Chino Custom,Thick Blue Striping (Light Blue),#00A6F7,,0,166,247,Light Blue,00a6f7.png,fxRUsk0s.jpg,,Livery,chino2,,http://i.imgur.com/fxRUsk0s.jpg
Chino Custom,Gold Furiously Floral (Dark Orange),#AD4129,,173,65,41,Dark Orange,ad4129.png,f3ozmB9s.jpg,,Livery,chino2,,http://i.imgur.com/f3ozmB9s.jpg
Chino Custom,Gold Furiously Floral (Yellow),#EADA00,,234,218,0,Yellow,eada00.png,AyH0iMVs.jpg,,Livery,chino2,,http://i.imgur.com/AyH0iMVs.jpg
Chino Custom,Classic Blue Pinstripe (Blue),#189AC6,,24,154,198,Blue,189ac6.png,2AzladCs.jpg,,Livery,chino2,,http://i.imgur.com/2AzladCs.jpg
Chino Custom,Classic White Pinstripe (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,chino2,,
Cliffhanger,LTD Gas Livery (Blue),#23295A,AA,35,41,90,Blue,23295a.png,XKNKUMys.jpg,,Livery,cliffhanger,,http://i.imgur.com/XKNKUMys.jpg
Cliffhanger,Stunt Livery (Red),#C3081E,AA,195,8,30,Red,c3081e.png,vbb9XYPs.jpg,,Livery,cliffhanger,,http://i.imgur.com/vbb9XYPs.jpg
Cliffhanger,LTD Gas Livery (Red),#C30100,,195,1,0,Red,c30100.png,nByx8Wxs.jpg,,Livery,cliffhanger,,http://i.imgur.com/nByx8Wxs.jpg
Cliffhanger,Stunt Livery (Blue),#213B6B,AA,33,59,107,Blue,213b6b.png,9lSNzKFs.jpg,,Livery,cliffhanger,,http://i.imgur.com/9lSNzKFs.jpg
Cliffhanger,Stunt Livery (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,cliffhanger,,
Comet Retro Custom,Tenshun (Dark Red),#6B0103,AA,107,1,3,Dark Red,6b0103.png,zHWUoT3s.png,,Livery,comet3,,http://i.imgur.com/zHWUoT3s.png
Comet Retro Custom,Globe Oil (Grey),#2E2F2E,FF,46,47,46,Grey,2e2f2e.png,za6TPCQs.png,,Livery,comet3,,http://i.imgur.com/za6TPCQs.png
Comet Retro Custom,80's Gamer (Orange),#FF910B,,255,145,11,Orange,ff910b.png,xMbgbzPs.png,,Livery,comet3,,http://i.imgur.com/xMbgbzPs.png
Comet Retro Custom,Retro Racer (Red),#DE0000,,222,0,0,Red,de0000.png,X1RrEp3s.png,,Livery,comet3,,http://i.imgur.com/X1RrEp3s.png
Comet Retro Custom,Meinmacht (Darker Grey 2),#3F4142,AA,63,65,66,Darker Grey,3f4142.png,wfwgj6Ss.png,,Livery,comet3,,http://i.imgur.com/wfwgj6Ss.png
Comet Retro Custom,Auto Exotic (White),#E4E6E4,55,228,230,228,White,e4e6e4.png,uOjaltzs.png,,Livery,comet3,,http://i.imgur.com/uOjaltzs.png
Comet Retro Custom,Retro Racer (Yellow 2),#FFCE00,,255,206,0,Yellow,ffce00.png,U3YjLNJs.png,,Livery,comet3,,http://i.imgur.com/U3YjLNJs.png
Comet Retro Custom,Tenshun (Red),#C30505,,195,5,5,Red,c30505.png,rToBscws.png,,Livery,comet3,,http://i.imgur.com/rToBscws.png
Comet Retro Custom,Fruit Performance (Bright Green),#89FF03,,137,255,3,Bright Green,89ff03.png,Rlyte34s.png,,Livery,comet3,,http://i.imgur.com/Rlyte34s.png
Comet Retro Custom,Fruit Performance (Lighter Gray),#B2B2B2,00,178,178,178,Lighter Gray,b2b2b2.png,NDoFxDcs.png,,Livery,comet3,,http://i.imgur.com/NDoFxDcs.png
Comet Retro Custom,80's Gamer (Yellow),#FFCC34,,255,204,52,Yellow,ffcc34.png,mF63kGns.png,,Livery,comet3,,http://i.imgur.com/mF63kGns.png
Comet Retro Custom,Tenshun (Blue),#005AA7,,0,90,167,Blue,005aa7.png,iybieBLs.png,,Livery,comet3,,http://i.imgur.com/iybieBLs.png
Comet Retro Custom,Retro Racer (Grey),#2E2F2E,AA,46,47,46,Grey,2e2f2e.png,GwQjkGKs.png,,Livery,comet3,,http://i.imgur.com/GwQjkGKs.png
Comet Retro Custom,Retro Racer (Yellow),#FFB534,,255,181,52,Yellow,ffb534.png,gPtnT5ls.png,,Livery,comet3,,http://i.imgur.com/gPtnT5ls.png
Comet Retro Custom,Wiwang (Red 2),#D1231E,,209,35,30,Red,d1231e.png,CI83uoIs.png,,Livery,comet3,,http://i.imgur.com/CI83uoIs.png
Comet Retro Custom,Fruit Performance (Bright Green 2),#2CFF00,,44,255,0,Bright Green,2cff00.png,bRZUoW4s.png,,Livery,comet3,,http://i.imgur.com/bRZUoW4s.png
Comet Retro Custom,Fruit Performance (Darker Grey),#A5A5A5,00,165,165,165,Darker Grey,a5a5a5.png,BJJYTgJs.png,,Livery,comet3,,http://i.imgur.com/BJJYTgJs.png
Comet Retro Custom,Globe Oil (Red),#9F0B0B,,159,11,11,Red,9f0b0b.png,aXidYJos.png,,Livery,comet3,,http://i.imgur.com/aXidYJos.png
Comet Retro Custom,Wiwang (Red),#9C1513,,156,21,19,Red,9c1513.png,65Oeiejs.png,,Livery,comet3,,http://i.imgur.com/65Oeiejs.png
Comet Retro Custom,Meinmacht (Light Grey),#D3D2D3,55,211,210,211,Light Grey,d3d2d3.png,5SZV4kEs.png,,Livery,comet3,,http://i.imgur.com/5SZV4kEs.png
Comet Retro Custom,Meinmacht (Darker Grey),#A2A2A5,00,162,162,165,Darker Grey,a2a2a5.png,4nuJVIZs.png,,Livery,comet3,,http://i.imgur.com/4nuJVIZs.png
Comet Retro Custom,Xero Gas (Light Blue),#007CD1,,0,124,209,Light Blue,007cd1.png,4Eiche5s.png,,Livery,comet3,,http://i.imgur.com/4Eiche5s.png
Comet Retro Custom,Meinmacht (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,comet3,,
Comet Retro Custom,Xero Gas (X Turquoise),#00ABD1,,0,171,209,X Turquoise,00abd1.png,(no preview),,Livery,comet3,,
Comet Retro Custom,Xero Gas (X Red),#DE0000,,222,0,0,X Red,de0000.png,(no preview),,Livery,comet3,,
Daemon2,Major Milspec (White),#E4E0D3,00,228,224,211,White,e4e0d3.png,Z0F0QBss.jpg,,Livery,daemon,,http://i.imgur.com/Z0F0QBss.jpg
Daemon2,Patriot Paintover (Red),#5F0E10,AA,95,14,16,Red,5f0e10.png,XFhrzAms.jpg,,Livery,daemon,,http://i.imgur.com/XFhrzAms.jpg
Daemon2,Patriot Paintover (Blue),#163EB5,,22,62,181,Blue,163eb5.png,VLpFDy1s.jpg,,Livery,daemon,,http://i.imgur.com/VLpFDy1s.jpg
Daemon2,Blue Flames (Blue),#1E3560,AA,30,53,96,Blue,1e3560.png,uRpTjBFs.jpg,,Livery,daemon,,http://i.imgur.com/uRpTjBFs.jpg
Daemon2,Thin Stripe Patina (Stripe Colour),#B8B9A5,00,184,185,165,Stripe Colour,b8b9a5.png,qzAuN3Es.jpg,,Livery,daemon,,http://i.imgur.com/qzAuN3Es.jpg
Daemon2,Red Flames (Red),#7E0000,AA,126,0,0,Red,7e0000.png,NLNF4MTs.jpg,,Livery,daemon,,http://i.imgur.com/NLNF4MTs.jpg
Daemon2,Thin Stripe Patina (Brown),#291D1B,AA,41,29,27,Brown,291d1b.png,lZrGJQLs.jpg,,Livery,daemon,,http://i.imgur.com/lZrGJQLs.jpg
Daemon2,Tropical Green (Green),#6BFA5A,,107,250,90,Green,6bfa5a.png,kp4jeQZs.jpg,,Livery,daemon,,http://i.imgur.com/kp4jeQZs.jpg
Daemon2,Classic Pinstripe Patina (Red),#CB0000,,203,0,0,Red,cb0000.png,I8FuTxts.jpg,,Livery,daemon,,http://i.imgur.com/I8FuTxts.jpg
Daemon2,Fat Stripe Patina (Brown),#291D1B,AA,41,29,27,Brown,291d1b.png,HHiMFbns.jpg,,Livery,daemon,,http://i.imgur.com/HHiMFbns.jpg
Daemon2,Fat Stripe Patina (Stripe Colour),#DCDAC6,00,220,218,198,Stripe Colour,dcdac6.png,Fx6sFMjs.jpg,,Livery,daemon,,http://i.imgur.com/Fx6sFMjs.jpg
Daemon2,Patriot Patina (Dark Red),#4D0908,AA,77,9,8,Dark Red,4d0908.png,fqy5CmLs.jpg,,Livery,daemon,,http://i.imgur.com/fqy5CmLs.jpg
Daemon2,Blue Tribal (Turquoise),#00D3FF,,0,211,255,Turquoise,00d3ff.png,DJ3NNPFs.jpg,,Livery,daemon,,http://i.imgur.com/DJ3NNPFs.jpg
Daemon2,Blue Tribal (Turquoise 2),#0097FF,,0,151,255,Turquoise,0097ff.png,aQ33vf7s.jpg,,Livery,daemon,,http://i.imgur.com/aQ33vf7s.jpg
Daemon2,Flamed Patina (Red),#7E0000,AA,126,0,0,Red,7e0000.png,3cIjvDxs.jpg,,Livery,daemon,,http://i.imgur.com/3cIjvDxs.jpg
Daemon2,Patriot Patina (Dark Blue),#082076,AA,8,32,118,Dark Blue,082076.png,1wP5AAys.jpg,,Livery,daemon,,http://i.imgur.com/1wP5AAys.jpg
Daemon2,Classic Pinstripe (Red),#CB0000,,203,0,0,Red,cb0000.png,0eF0TLas.jpg,,Livery,daemon,,http://i.imgur.com/0eF0TLas.jpg
Daemon2,Ghost Flames (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,daemon,,
Daemon2,Basic Pinstripe (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,daemon,,
Daemon2,Outline Pinstripe (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,daemon,,
Daemon2,Ornate Stripe (Black),#080808,AA,8,8,8,Black,080808.png,(no preview),,Livery,daemon,,
Daemon2,Stealthy Snake (Black),#080808,AA,8,8,8,Black,080808.png,(no preview),,Livery,daemon,,
Daemon2,Outline Pinstripe Patina (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,daemon,,
Defiler,Green Race Livery (Bright Green),#58FF00,,88,255,0,Bright Green,58ff00.png,zc1goXbs.jpg,,Livery,defiler,,http://i.imgur.com/zc1goXbs.jpg
Defiler,Custom Yellow (Light Yellow),#EFE281,AA,239,226,129,Light Yellow,efe281.png,yRVi2m7s.jpg,,Livery,defiler,,http://i.imgur.com/yRVi2m7s.jpg
Defiler,Yellow Race Livery (Bright Yellow),#FFE321,,255,227,33,Bright Yellow,ffe321.png,XYIJKOKs.jpg,,Livery,defiler,,http://i.imgur.com/XYIJKOKs.jpg
Defiler,Custom Red (Light Red),#FFD3DB,AA,255,211,219,Light Red,ffd3db.png,X9IlCDHs.jpg,,Livery,defiler,,http://i.imgur.com/X9IlCDHs.jpg
Defiler,Custom Blue (Light Blue),#D1DEE7,AA,209,222,231,Light Blue,d1dee7.png,TOvMhy7s.jpg,,Livery,defiler,,http://i.imgur.com/TOvMhy7s.jpg
Defiler,Blue Race Livery (Bright Turquoise),#00FFFF,,0,255,255,Bright Turquoise,00ffff.png,NX0UCbhs.jpg,,Livery,defiler,,http://i.imgur.com/NX0UCbhs.jpg
Defiler,Classic Green Stripe (Green),#184A18,AA,24,74,24,Green,184a18.png,NUWFYrFs.jpg,,Livery,defiler,,http://i.imgur.com/NUWFYrFs.jpg
Defiler,Red Race Livery (Pink),#C06566,FF,192,101,102,Pink,c06566.png,nqlUiPXs.jpg,,Livery,defiler,,http://i.imgur.com/nqlUiPXs.jpg
Defiler,Classic Red Stripe (Red),#6E2929,AA,110,41,41,Red,6e2929.png,IVVMCYMs.jpg,,Livery,defiler,,http://i.imgur.com/IVVMCYMs.jpg
Defiler,Classic Orange Stripe (Orange),#DC8221,,220,130,33,Orange,dc8221.png,inqlyC7s.jpg,,Livery,defiler,,http://i.imgur.com/inqlyC7s.jpg
Defiler,Red Race Livery (Red),#970303,AA,151,3,3,Red,970303.png,GGUcrLFs.jpg,,Livery,defiler,,http://i.imgur.com/GGUcrLFs.jpg
Defiler,Custom Purple (Light Purple),#E4D2FF,AA,228,210,255,Light Purple,e4d2ff.png,g89acfos.jpg,,Livery,defiler,,http://i.imgur.com/g89acfos.jpg
Defiler,Classic Blue Stripe (Blue),#18394A,AA,24,57,74,Blue,18394a.png,9a2SeGVs.jpg,,Livery,defiler,,http://i.imgur.com/9a2SeGVs.jpg
Defiler,Yellow Race Livery (Yellow),#998500,,153,133,0,Yellow,998500.png,5i8mx7xs.jpg,,Livery,defiler,,http://i.imgur.com/5i8mx7xs.jpg
Diabolus Custom,Green Tribal (Outline),#BDFF6B,,189,255,107,Outline,bdff6b.png,zYRQPkCs.png,,Livery,diablous2,,http://i.imgur.com/zYRQPkCs.png
Diabolus Custom,Purple Tribal (Outline),#DE8EFF,00,222,142,255,Outline,de8eff.png,ylwM4eOs.png,,Livery,diablous2,,http://i.imgur.com/ylwM4eOs.png
Diabolus Custom,Yellow Tribal (Outline),#F7D752,,247,215,82,Outline,f7d752.png,Ug9rzqys.png,,Livery,diablous2,,http://i.imgur.com/Ug9rzqys.png
Diabolus Custom,Green Tribal (Green),#91D839,,145,216,57,Green,91d839.png,TtyNUDWs.png,,Livery,diablous2,,http://i.imgur.com/TtyNUDWs.png
Diabolus Custom,Classic Red Flames (Red),#8C0000,AA,140,0,0,Red,8c0000.png,MSca8o5s.png,,Livery,diablous2,,http://i.imgur.com/MSca8o5s.png
Diabolus Custom,Yellow Stripe (Yellow),#C6A300,,198,163,0,Yellow,c6a300.png,lRiPRc8s.png,,Livery,diablous2,,http://i.imgur.com/lRiPRc8s.png
Diabolus Custom,Green Stripes (Green),#ADFE42,,173,254,66,Green,adfe42.png,l1rvkg7s.png,,Livery,diablous2,,http://i.imgur.com/l1rvkg7s.png
Diabolus Custom,Purple Tribal (Purple),#7E00C3,,126,0,195,Purple,7e00c3.png,Jl9ym1ls.png,,Livery,diablous2,,http://i.imgur.com/Jl9ym1ls.png
Diabolus Custom,Yellow Tribal (Yellow),#AA8B00,,170,139,0,Yellow,aa8b00.png,ITnXkw9s.png,,Livery,diablous2,,http://i.imgur.com/ITnXkw9s.png
Diabolus Custom,Classic Yellow Flames (Yellow),#C3A50B,,195,165,11,Yellow,c3a50b.png,HNw7w33s.png,,Livery,diablous2,,http://i.imgur.com/HNw7w33s.png
Diabolus Custom,Red Tribal (Outline),#FF0000,,255,0,0,Outline,ff0000.png,GVZGjLms.png,,Livery,diablous2,,http://i.imgur.com/GVZGjLms.png
Diabolus Custom,Blue Tribal (Blue),#1E8ED1,,30,142,209,Blue,1e8ed1.png,gLp4BXis.png,,Livery,diablous2,,http://i.imgur.com/gLp4BXis.png
Diabolus Custom,Classic Purple Flames (Purple),#9400E4,,148,0,228,Purple,9400e4.png,fMTrWEDs.png,,Livery,diablous2,,http://i.imgur.com/fMTrWEDs.png
