ID,Color Name,Hex (Web RGB),R,G,B,Paint Chip,Preview Image,Unlock Requirement,Color (id),Group ID,Reference Sources
10,Cast Iron Silver,#23292E,35,41,46,010_cast-iron-silver_23292e.png,010_pearlescent_cast-iron-silver_23292e.png,,Cast Iron Silver (id=10),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/bc/Respray-GTAV-Pearlescent-CastIronSilver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
11,Anthracite Black,#121110,18,17,16,011_anthracite-black_121110.png,011_pearlescent_anthracite-black_121110.png,Rank 7,Anthracite Black (id=11),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/a0/Respray-GTAV-Pearlescent-AnthraciteBlack.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
27,Red,#690000,105,0,0,027_red_690000.png,027_pearlescent_red_690000.png,,Red (id=27),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/03/Respray-GTAV-Pearlescent-Red.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
28,Torino Red,#8A0B00,138,11,0,028_torino-red_8a0b00.png,028_pearlescent_torino-red_8a0b00.png,Rank 11,Torino Red (id=28),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/7/7d/Respray-GTAV-Pearlescent-TorinoRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
29,Formula Red,#6B0000,107,0,0,029_formula-red_6b0000.png,029_pearlescent_formula-red_6b0000.png,Rank 11,Formula Red (id=29),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/e9/Respray-GTAV-Pearlescent-FormulaRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
30,Blaze Red,#611009,97,16,9,030_blaze-red_611009.png,030_pearlescent_blaze-red_611009.png,Rank 11,Blaze Red (id=30),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/09/Respray-GTAV-Pearlescent-BlazeRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
31,Grace Red,#4A0A0A,74,10,10,031_grace-red_4a0a0a.png,031_pearlescent_grace-red_4a0a0a.png,Rank 11,Grace Red (id=31),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/3/35/Respray-GTAV-Pearlescent-GraceRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
32,Garnet Red,#470E0E,71,14,14,032_garnet-red_470e0e.png,032_pearlescent_garnet-red_470e0e.png,,Garnet Red (id=32),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/9/97/Respray-GTAV-Pearlescent-GarnetRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
33,Sunset Red,#380C00,56,12,0,033_sunset-red_380c00.png,033_pearlescent_sunset-red_380c00.png,Rank 13,Sunset Red (id=33),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/68/Respray-GTAV-Pearlescent-SunsetRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
34,Cabernet Red,#26030B,38,3,11,034_cabernet-red_26030b.png,034_pearlescent_cabernet-red_26030b.png,25 Slipstreams,Cabernet Red (id=34),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/64/Respray-GTAV-Pearlescent-CabernetRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
35,Candy Red,#630012,99,0,18,035_candy-red_630012.png,035_pearlescent_candy-red_630012.png,50 Best Laps,Candy Red (id=35),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/5b/Respray-GTAV-Pearlescent-CandyRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
36,Sunrise Orange,#802800,128,40,0,036_sunrise-orange_802800.png,036_pearlescent_sunrise-orange_802800.png,5 Stunt Jumps,Sunrise Orange (id=36),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/9/9c/Respray-GTAV-Pearlescent-SunriseOrange.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
38,Orange,#BD4800,189,72,0,038_orange_bd4800.png,038_pearlescent_orange_bd4800.png,,Orange (id=38),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/88/Respray-GTAV-Pearlescent-Orange.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
49,Dark Green,#001207,0,18,7,049_dark-green_001207.png,049_pearlescent_dark-green_001207.png,Rank 15,Dark Green (id=49),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/b4/Respray-GTAV-Pearlescent-DarkGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
50,Racing Green,#001A0B,0,26,11,050_racing-green_001a0b.png,050_pearlescent_racing-green_001a0b.png,10 Turbo Starts,Racing Green (id=50),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/9/9b/Respray-GTAV-Pearlescent-RacingGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
51,Sea Green,#00211E,0,33,30,051_sea-green_00211e.png,051_pearlescent_sea-green_00211e.png,Rank 15,Sea Green (id=51),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/8e/Respray-GTAV-Pearlescent-SeaGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
52,Olive Green,#1F261E,31,38,30,052_olive-green_1f261e.png,052_pearlescent_olive-green_1f261e.png,,Olive Green (id=52),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/a7/Respray-GTAV-Pearlescent-OliveGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
53,Bright Green,#003805,0,56,5,053_bright-green-green_003805.png,053_pearlescent_bright-green_003805.png,,Bright Green (id=53),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/ef/Respray-GTAV-Pearlescent-BrightGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
54,Gasoline Green,#0B4145,11,65,69,054_gasoline-green_0b4145.png,054_pearlescent_gasoline-green_0b4145.png,50 Slipstreams,Gasoline Green (id=54),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/ab/Respray-GTAV-Pearlescent-GasolineGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
61,Galaxy Blue,#000D14,0,13,20,061_galaxy-blue_000d14.png,061_pearlescent_galaxy-blue_000d14.png,Rank 17,Galaxy Blue (id=61),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/b1/Respray-GTAV-Pearlescent-GalaxyBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
62,Dark Blue,#001029,0,16,41,062_dark-blue_001029.png,062_pearlescent_dark-blue_001029.png,Rank 17,Dark Blue (id=62),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/f/fb/Respray-GTAV-Pearlescent-DarkBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
63,Saxon Blue,#1C2F4F,28,47,79,063_saxon-blue_1c2f4f.png,063_pearlescent_saxon-blue_1c2f4f.png,Rank 17,Saxon Blue (id=63),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/0e/Respray-GTAV-Pearlescent-SaxonBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
64,Blue,#001B57,0,27,87,064_blue-royal-blue_001b57.png,064_pearlescent_blue_001b57.png,,Blue (id=64),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/8b/Respray-GTAV-Pearlescent-Blue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
65,Mariner Blue,#3B4E78,59,78,120,065_mariner-blue_3b4e78.png,065_pearlescent_mariner-blue_3b4e78.png,Rank 17,Mariner Blue (id=65),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/18/Respray-GTAV-Pearlescent-MarinerBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
66,Harbor Blue,#272D3B,39,45,59,066_harbor-blue_272d3b.png,066_pearlescent_harbor-blue_272d3b.png,,Harbor Blue (id=66),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/af/Respray-GTAV-Pearlescent-HarborBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
67,Diamond Blue,#95B2DB,149,178,219,067_diamond-blue_95b2db.png,067_pearlescent_diamond-blue_95b2db.png,Rank 19,Diamond Blue (id=67),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/d/d0/Respray-GTAV-Pearlescent-DiamondBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
68,Surf Blue,#3E627A,62,98,122,068_surf-blue_3e627a.png,068_pearlescent_surf-blue_3e627a.png,Rank 19,Surf Blue (id=68),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/e0/Respray-GTAV-Pearlescent-SurfBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
69,Nautical Blue,#1C3140,28,49,64,069_nautical-blue_1c3140.png,069_pearlescent_nautical-blue_1c3140.png,Rank 19,Nautical Blue (id=69),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/64/Respray-GTAV-Pearlescent-NauticalBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
70,Ultra Blue,#0055C4,0,85,196,070_bright-blue-ultra-blue_0055c4.png,070_pearlescent_ultra-blue_0055c4.png,25 Best Laps,Ultra Blue (id=70),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/7/7c/Respray-GTAV-Pearlescent-UltraBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
71,Schafter Purple,#1A182E,26,24,46,071_schafter-purple_1a182e.png,071_pearlescent_schafter-purple_1a182e.png,Rank 25,Schafter Purple (id=71),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/c/ce/Respray-GTAV-Pearlescent-SchafterPurple.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
72,Spinnaker Purple,#161629,22,22,41,072_spinnaker-purple_161629.png,072_pearlescent_spinnaker-purple_161629.png,25 Turbo Starts,Spinnaker Purple (id=72),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/11/Respray-GTAV-Pearlescent-SpinnakerPurple.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
73,Racing Blue,#0E316D,14,49,109,073_racing-blue_0e316d.png,073_pearlescent_racing-blue_0e316d.png,Rank 19,Racing Blue (id=73),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/6f/Respray-GTAV-Pearlescent-RacingBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
74,Light Blue,#395A83,57,90,131,074_light-blue_395a83.png,074_pearlescent_light-blue_395a83.png,,Light Blue (id=74),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/02/Respray-GTAV-Pearlescent-LightBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
88,Yellow,#F5890F,245,137,15,088_yellow_f5890f.png,088_pearlescent_yellow_f5890f.png,Rank 15,Yellow (id=88),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/bd/Respray-GTAV-Pearlescent-Yellow.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
89,Race Yellow,#D9A600,217,166,0,089_race-yellow_d9a600.png,089_pearlescent_race-yellow_d9a600.png,,Race Yellow (id=89),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/ed/Respray-GTAV-Pearlescent-RaceYellow.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
90,Bronze,#4A341B,74,52,27,090_bronze-dark-copper_4a341b.png,090_pearlescent_bronze_4a341b.png,Rank 15,Bronze (id=90),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/c/c1/Respray-GTAV-Pearlescent-Bronze.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
91,Dew Yellow,#A2A827,162,168,39,091_dew-yellow-yellow-bird_a2a827.png,091_pearlescent_dew-yellow_a2a827.png,10 Stunt Jumps,Dew Yellow (id=91),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/9/99/Respray-GTAV-Pearlescent-DewYellow.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
92,Lime Green,#568F00,86,143,0,092_lime-green_568f00.png,092_pearlescent_lime-green_568f00.png,25 Stunt Jumps,Lime Green (id=92),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/ef/Respray-GTAV-Pearlescent-LimeGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
94,Feltzer Brown,#291B06,41,27,6,094_feltzer-brown_291b06.png,094_pearlescent_feltzer-brown_291b06.png,Rank 21,Feltzer Brown (id=94),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/15/Respray-GTAV-Pearlescent-FeltzerBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
95,Creek Brown,#262117,38,33,23,095_creek-brown-dark-ivory_262117.png,095_pearlescent_creek-brown_262117.png,,Creek Brown (id=95),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/0f/Respray-GTAV-Pearlescent-CreekBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
96,Chocolate Brown,#120D07,18,13,7,096_chocolate-brown_120d07.png,096_pearlescent_chocolate-brown_120d07.png,Rank 21,Chocolate Brown (id=96),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/43/Respray-GTAV-Pearlescent-ChocolateBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
97,Maple Brown,#332111,51,33,17,097_maple-brown_332111.png,097_pearlescent_maple-brown_332111.png,Rank 21,Maple Brown (id=97),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/5c/Respray-GTAV-Pearlescent-MapleBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
98,Saddle Brown,#3D3023,61,48,35,098_saddle-brown_3d3023.png,098_pearlescent_saddle-brown_3d3023.png,,Saddle Brown (id=98),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/16/Respray-GTAV-Pearlescent-SaddleBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
99,Gold,#5E5343,94,83,67,099_gold-straw-brown_5e5343.png,099_pearlescent_gold_5e5343.png,25 Race Wins,Gold (id=99),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/3/3f/Respray-GTAV-Pearlescent-Gold.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
99,Straw Brown,#5E5343,94,83,67,099_gold-straw-brown_5e5343.png,099_pearlescent_gold_5e5343.png,Rank 23,Straw Brown (id=99),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/3/3f/Respray-GTAV-Pearlescent-Gold.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
100,Moss Brown,#37382B,55,56,43,100_moss-brown_37382b.png,100_pearlescent_moss-brown_37382b.png,Rank 23,Moss Brown (id=100),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/3/3f/Respray-GTAV-Pearlescent-MossBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
101,Bison Brown,#221918,34,25,24,101_bison-brown_221918.png,101_pearlescent_bison-brown_221918.png,5 Best Laps,Bison Brown (id=101),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/03/Respray-GTAV-Pearlescent-BisonBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
102,Beechwood,#575036,87,80,54,102_beechwood_575036.png,102_pearlescent_woodbeech-brown_575036.png,Rank 23,Beechwood (id=102),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/63/Respray-GTAV-Pearlescent-WoodbeechBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
103,Dark Beechwood Brown,#241309,36,19,9,103_dark-beechwood_241309.png,103_pearlescent_beechwood-brown_241309.png,5 Race Wins,Dark Beechwood Brown (id=103),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/d/d8/Respray-GTAV-Pearlescent-BeechwoodBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
104,Sienna Brown,#3B1700,59,23,0,104_sienna-brown_3b1700.png,104_pearlescent_sienna-brown_3b1700.png,Rank 21,Sienna Brown (id=104),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/b4/Respray-GTAV-Pearlescent-SiennaBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
105,Sandy Brown,#6E6246,110,98,70,105_sandy-brown_6e6246.png,105_pearlescent_sandy-brown_6e6246.png,Rank 23,Sandy Brown (id=105),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/51/Respray-GTAV-Pearlescent-SandyBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
106,Bleached Brown,#998D73,153,141,115,106_bleached-brown_998d73.png,106_pearlescent_bleached-brown_998d73.png,,Bleached Brown (id=106),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/5c/Respray-GTAV-Pearlescent-BleachedBrown.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
107,Cream,#CFC0A5,207,192,165,107_cream_cfc0a5.png,107_pearlescent_cream_cfc0a5.png,Rank 25,Cream (id=107),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/7/76/Respray-GTAV-Pearlescent-Cream.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
111,Ice White,#F0F0F0,240,240,240,111_ice-white_f0f0f0.png,111_pearlescent_ice-white_f0f0f0.png,,Ice White (id=111),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/ab/Respray-GTAV-Pearlescent-IceWhite.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
112,Frost White,#B3B9C9,179,185,201,112_frost-white_b3b9c9.png,112_pearlescent_frost-white_b3b9c9.png,Rank 25,Frost White (id=112),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/ec/Respray-GTAV-Pearlescent-FrostWhite.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
135,Hot Pink,#B01259,176,18,89,135_hot-pink_b01259.png,135_pearlescent_hot-pink_b01259.png,50 Turbo Starts,Hot Pink (id=135),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/a0/Respray-GTAV-Pearlescent-HotPink.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
136,Salmon Pink,#F69799,246,151,153,136_salmon-pink_f69799.png,136_pearlescent_salmon-pink_f69799.png,Rank 13,Salmon Pink (id=136),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/83/Respray-GTAV-Pearlescent-SalmonPink.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
137,Pfister Pink,#8F2F55,143,47,85,137_pfister-pink_8f2f55.png,137_pearlescent_pfister-pink_8f2f55.png,Rank 13,Pfister Pink (id=137),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/49/Respray-GTAV-Pearlescent-PfisterPink.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
138,Bright Orange,#C26610,194,102,16,138_bright-orange_c26610.png,138_pearlescent_bright-orange_c26610.png,Rank 13,Bright Orange (id=138),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/5d/Respray-GTAV-Pearlescent-BrightOrange.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
