ID,Color Name,Hex (Web RGB),R,G,B,Default Pearl (when purchased),Paint Chip,Preview Image,Unlock Requirement,Color (id),Group ID,Reference Sources
34,Cabernet Red,#26030B,38,3,11,,034_cabernet-red_26030b.png,(no preview),25 Slipstreams,Cabernet Red (id=34),Classic,
143,Wine Red,#080000,8,0,0,,143_wine-red_080000.png,(no preview),5 Turbo Starts,Wine Red (id=143),Classic,
35,Candy Red,#630012,99,0,18,,035_candy-red_630012.png,(no preview),50 Best Laps,Candy Red (id=35),Classic,
135,Hot Pink,#B01259,176,18,89,,135_hot-pink_b01259.png,(no preview),50 Turbo Starts,Hot Pink (id=135),Classic,
137,Pfister Pink,#8F2F55,143,47,85,,137_pfister-pink_8f2f55.png,(no preview),Rank 13,Pfister Pink (id=137),Classic,
136,Salmon Pink,#F69799,246,151,153,,136_salmon-pink_f69799.png,(no preview),Rank 13,Salmon Pink (id=136),Classic,
36,Sunrise Orange,#802800,128,40,0,,036_sunrise-orange_802800.png,(no preview),5 Stunt Jumps,Sunrise Orange (id=36),Classic,
38,Orange,#BD4800,189,72,0,,038_orange_bd4800.png,(no preview),,Orange (id=38),Classic,
138,Bright Orange,#C26610,194,102,16,,138_bright-orange_c26610.png,(no preview),Rank 13,Bright Orange (id=138),Classic,
99,Gold,#5E5343,94,83,67,Straw Brown (id=99),099_gold-straw-brown_5e5343.png,(no preview),25 Race Wins,Gold (id=99),Classic,
90,Bronze,#4A341B,74,52,27,"Beechwood, Woodbeech Brown (id=102)",090_bronze-dark-copper_4a341b.png,(no preview),Rank 15,Bronze (id=90),Classic,
88,Yellow,#F5890F,245,137,15,,088_yellow_f5890f.png,(no preview),Rank 15,Yellow (id=88),Classic,
89,Race Yellow,#D9A600,217,166,0,,089_race-yellow_d9a600.png,(no preview),,Race Yellow (id=89),Classic,
91,Dew Yellow,#A2A827,162,168,39,,091_dew-yellow-yellow-bird_a2a827.png,(no preview),10 Stunt Jumps,Dew Yellow (id=91),Classic,
49,Dark Green,#001207,0,18,7,,049_dark-green_001207.png,(no preview),Rank 15,Dark Green (id=49),Classic,
50,Racing Green,#001A0B,0,26,11,,050_racing-green_001a0b.png,(no preview),10 Turbo Starts,Racing Green (id=50),Classic,
51,Sea Green,#00211E,0,33,30,,051_sea-green_00211e.png,(no preview),Rank 15,Sea Green (id=51),Classic,
52,Olive Green,#1F261E,31,38,30,,052_olive-green_1f261e.png,(no preview),,Olive Green (id=52),Classic,
53,Bright Green,#003805,0,56,5,,053_bright-green-green_003805.png,(no preview),,Bright Green (id=53),Classic,
54,Gasoline Green,#0B4145,11,65,69,,054_gasoline-green_0b4145.png,(no preview),50 Slipstreams,Gasoline Green (id=54),Classic,
92,Lime Green,#568F00,86,143,0,,092_lime-green_568f00.png,(no preview),25 Stunt Jumps,Lime Green (id=92),Classic,
141,Midnight Blue,#000108,0,1,8,,141_midnight-blue_000108.png,(no preview),10 Best Laps,Midnight Blue (id=141),Classic,
61,Galaxy Blue,#000D14,0,13,20,,061_galaxy-blue_000d14.png,(no preview),Rank 17,Galaxy Blue (id=61),Classic,
62,Dark Blue,#001029,0,16,41,,062_dark-blue_001029.png,(no preview),Rank 17,Dark Blue (id=62),Classic,
63,Saxon Blue,#1C2F4F,28,47,79,,063_saxon-blue_1c2f4f.png,(no preview),Rank 17,Saxon Blue (id=63),Classic,
64,Blue,#001B57,0,27,87,,064_blue-royal-blue_001b57.png,(no preview),,Blue (id=64),Classic,
65,Mariner Blue,#3B4E78,59,78,120,,065_mariner-blue_3b4e78.png,(no preview),Rank 17,Mariner Blue (id=65),Classic,
66,Harbor Blue,#272D3B,39,45,59,,066_harbor-blue_272d3b.png,(no preview),,Harbor Blue (id=66),Classic,
67,Diamond Blue,#95B2DB,149,178,219,,067_diamond-blue_95b2db.png,(no preview),Rank 19,Diamond Blue (id=67),Classic,
68,Surf Blue,#3E627A,62,98,122,,068_surf-blue_3e627a.png,(no preview),Rank 19,Surf Blue (id=68),Classic,
69,Nautical Blue,#1C3140,28,49,64,,069_nautical-blue_1c3140.png,(no preview),Rank 19,Nautical Blue (id=69),Classic,
73,Racing Blue,#0E316D,14,49,109,,073_racing-blue_0e316d.png,(no preview),Rank 19,Racing Blue (id=73),Classic,
70,Ultra Blue,#0055C4,0,85,196,,070_bright-blue-ultra-blue_0055c4.png,(no preview),25 Best Laps,Ultra Blue (id=70),Classic,
74,Light Blue,#395A83,57,90,131,,074_light-blue_395a83.png,(no preview),,Light Blue (id=74),Classic,
96,Chocolate Brown,#120D07,18,13,7,,096_chocolate-brown_120d07.png,(no preview),Rank 21,Chocolate Brown (id=96),Classic,
101,Bison Brown,#221918,34,25,24,,101_bison-brown_221918.png,(no preview),5 Best Laps,Bison Brown (id=101),Classic,
95,Creek Brown,#262117,38,33,23,,095_creek-brown-dark-ivory_262117.png,(no preview),,Creek Brown (id=95),Classic,
94,Feltzer Brown,#291B06,41,27,6,,094_feltzer-brown_291b06.png,(no preview),Rank 21,Feltzer Brown (id=94),Classic,
97,Maple Brown,#332111,51,33,17,,097_maple-brown_332111.png,(no preview),Rank 21,Maple Brown (id=97),Classic,
103,Beechwood Brown,#241309,36,19,9,,103_dark-beechwood_241309.png,(no preview),5 Race Wins,Beechwood Brown (id=103),Classic,
104,Sienna Brown,#3B1700,59,23,0,,104_sienna-brown_3b1700.png,(no preview),Rank 21,Sienna Brown (id=104),Classic,
98,Saddle Brown,#3D3023,61,48,35,,098_saddle-brown_3d3023.png,(no preview),,Saddle Brown (id=98),Classic,
100,Moss Brown,#37382B,55,56,43,,100_moss-brown_37382b.png,(no preview),Rank 23,Moss Brown (id=100),Classic,
102,Woodbeech Brown,#575036,87,80,54,,102_beechwood_575036.png,(no preview),Rank 23,Woodbeech Brown (id=102),Classic,
99,Straw Brown,#5E5343,94,83,67,,099_gold-straw-brown_5e5343.png,(no preview),Rank 23,Straw Brown (id=99),Classic,
105,Sandy Brown,#6E6246,110,98,70,,105_sandy-brown_6e6246.png,(no preview),Rank 23,Sandy Brown (id=105),Classic,
106,Bleached Brown,#998D73,153,141,115,,106_bleached-brown_998d73.png,(no preview),,Bleached Brown (id=106),Classic,
71,Schafter Purple,#1A182E,26,24,46,,071_schafter-purple_1a182e.png,(no preview),Rank 25,Schafter Purple (id=71),Classic,
72,Spinnaker Purple,#161629,22,22,41,,072_spinnaker-purple_161629.png,(no preview),25 Turbo Starts,Spinnaker Purple (id=72),Classic,
142,Midnight Purple,#050008,5,0,8,,142_midnight-purple_050008.png,(no preview),Rank 25,Midnight Purple (id=142),Classic,
145,Bright Purple,#320642,50,6,66,,145_bright-purple-schafter-purple_320642.png,(no preview),,Bright Purple (id=145),Classic,
107,Cream,#CFC0A5,207,192,165,,107_cream_cfc0a5.png,(no preview),Rank 25,Cream (id=107),Classic,
111,Ice White,#F0F0F0,240,240,240,,111_ice-white_f0f0f0.png,(no preview),,Ice White (id=111),Classic,
112,Frost White,#B3B9C9,179,185,201,,112_frost-white_b3b9c9.png,(no preview),Rank 25,Frost White (id=112),Classic,
,Crew Color,,,,,,,(no preview),Crew Level 20,Crew Color,Classic,
